id,pregunta,respuesta,
1,¿Qué tan satisfecho estás con el servicio de atención al cliente?,Me atendieron muy rápido y resolvieron mi problema sin complicaciones. Muy buena experiencia.,
2,¿Qué tan satisfecho estás con el servicio de atención al cliente?,Tuve que llamar tres veces para que me hicieran caso. Muy frustrante y tardaron demasiado.,
3,¿Qué tan satisfecho estás con el servicio de atención al cliente?,El servicio estuvo bien  aunque creo que podrían mejorar los tiempos de espera.,
4,¿Qué tan satisfecho estás con el servicio de atención al cliente?,Pésimo. Nadie supo darme una respuesta clara y me dejaron en espera por más de 20 minutos.,
5,¿Qué tan satisfecho estás con el servicio de atención al cliente?,Excelente trato por parte del agente. Se notó que conocía bien el producto.,
6,¿Qué tan satisfecho estás con el servicio de atención al cliente?,Regular. No fue malo pero tampoco me sorprendió para bien.,
7,¿Qué tan satisfecho estás con el servicio de atención al cliente?,El agente fue amable pero no pudo solucionar mi problema. Tuve que buscar ayuda por otro medio.,
8,¿Qué tan satisfecho estás con el servicio de atención al cliente?,Muy satisfecho. Me explicaron todo con paciencia y en menos de 10 minutos ya tenía mi respuesta.,
9,¿Qué tan satisfecho estás con el servicio de atención al cliente?,No me gustó para nada. Sentí que el agente tenía prisa y no me escuchó bien.,
10,¿Qué tan satisfecho estás con el servicio de atención al cliente?,Bien en general. La única queja es que el tiempo de espera inicial fue largo.,
11,¿Qué tan satisfecho estás con el servicio de atención al cliente?,Increíble atención. Superaron mis expectativas completamente.,
12,¿Qué tan satisfecho estás con el servicio de atención al cliente?,Malo. Me dieron información incorrecta y tuve que corregirlos yo mismo.,
13,¿Qué tan satisfecho estás con el servicio de atención al cliente?,Sin quejas. Fue una interacción rápida y efectiva.,
14,¿Qué tan satisfecho estás con el servicio de atención al cliente?,El servicio cumple con lo básico pero nada más. Esperaba más proactividad.,
15,¿Qué tan satisfecho estás con el servicio de atención al cliente?,Me sorprendió lo eficiente que fue todo. Definitivamente volvería a contactarlos.,
16,¿Qué tan satisfecho estás con el servicio de atención al cliente?,Terrible experiencia. El sistema me desconectó dos veces y tuve que empezar desde cero.,
17,¿Qué tan satisfecho estás con el servicio de atención al cliente?,Bastante bien. El agente fue profesional y me dio seguimiento por correo después.,
18,¿Qué tan satisfecho estás con el servicio de atención al cliente?,No estoy ni satisfecho ni insatisfecho. Fue una experiencia completamente genérica.,
19,¿Qué tan satisfecho estás con el servicio de atención al cliente?,Muy buena atención. Me sentí valorado como cliente desde el primer momento.,
20,¿Qué tan satisfecho estás con el servicio de atención al cliente?,Podría mejorar. Hay cosas básicas que deberían funcionar mejor para el precio que pagamos.,
