id,respuesta,sentimiento
1,Me atendieron muy rápido y resolvieron mi problema sin complicaciones. Muy buena experiencia.,Positivo
2,Tuve que llamar tres veces para que me hicieran caso. Muy frustrante y tardaron demasiado.,Negativo
3,El servicio estuvo bien  aunque creo que podrían mejorar los tiempos de espera.,Neutro
4,Pésimo. Nadie supo darme una respuesta clara y me dejaron en espera por más de 20 minutos.,Negativo
5,Excelente trato por parte del agente. Se notó que conocía bien el producto.,Positivo
6,Regular. No fue malo pero tampoco me sorprendió para bien.,Neutro
7,El agente fue amable pero no pudo solucionar mi problema. Tuve que buscar ayuda por otro medio.,Negativo
8,Muy satisfecho. Me explicaron todo con paciencia y en menos de 10 minutos ya tenía mi respuesta.,Positivo
9,No me gustó para nada. Sentí que el agente tenía prisa y no me escuchó bien.,Negativo
10,Bien en general. La única queja es que el tiempo de espera inicial fue largo.,Neutro
11,Increíble atención. Superaron mis expectativas completamente.,Positivo
12,Malo. Me dieron información incorrecta y tuve que corregirlos yo mismo.,Negativo
13,Sin quejas. Fue una interacción rápida y efectiva.,Positivo
14,El servicio cumple con lo básico pero nada más. Esperaba más proactividad.,Negativo
15,Me sorprendió lo eficiente que fue todo. Definitivamente volvería a contactarlos.,Positivo
16,Terrible experiencia. El sistema me desconectó dos veces y tuve que empezar desde cero.,Negativo
17,Bastante bien. El agente fue profesional y me dio seguimiento por correo después.,Positivo
18,No estoy ni satisfecho ni insatisfecho. Fue una experiencia completamente genérica.,Neutro
19,Muy buena atención. Me sentí valorado como cliente desde el primer momento.,Positivo
20,Podría mejorar. Hay cosas básicas que deberían funcionar mejor para el precio que pagamos.,Negativo
